id,neighborhood,house_style,lot_area,gr_liv_area,total_bsmt_sf,garage_area,year_built,year_remod,overall_qual,overall_cond,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,distance_to_downtown_km,school_rating,crime_index,median_income_area,has_pool,noise_1,noise_2,noise_3,sale_price,true_price_no_noise
1,Suburbia,SplitLevel,5637.0,1640.0,1017.0,527.0,1929,1969,5,2,1,1,6,8,2,3.21,1.0,35.7,94.4,False,0.992,0.163,95.0,341000.0,323771.0
2,Hillcrest,1Story,9594.0,1220.0,1325.0,742.0,1900,1904,3,5,1,1,5,5,1,24.34,,32.4,90.6,True,-0.157,0.107,8.0,344800.0,357466.0
3,Suburbia,2Story,6551.0,2976.0,1204.0,0.0,1952,1956,10,3,1,2,3,4,0,4.16,1.0,8.7,93.8,True,-0.243,0.463,2.0,481900.0,458794.0
4,Suburbia,1.5Story,4550.0,1837.0,,120.0,1907,1926,4,1,2,2,4,6,0,12.13,4.0,68.6,67.2,False,-0.392,0.345,53.0,262700.0,266138.0
5,Downtown,2Story,7327.0,2619.0,1384.0,506.0,1946,1974,10,3,1,1,5,6,1,9.37,9.0,54.0,53.9,False,-1.721,0.045,48.0,477400.0,472942.0
6,Old Town,1.5Story,12883.0,2341.0,827.0,429.0,1979,1988,6,10,2,1,6,9,2,8.01,1.0,27.2,51.9,False,-0.099,0.065,52.0,346500.0,347376.0
7,Suburbia,1Story,9521.0,1564.0,1054.0,284.0,1947,1951,10,6,1,0,4,4,0,3.5,10.0,0.0,88.5,False,0.483,0.299,99.0,384600.0,394106.0
8,Suburbia,2Story,16420.0,1568.0,819.0,517.0,1985,1986,6,8,2,0,2,6,2,6.11,10.0,0.0,96.9,False,0.232,0.783,42.0,390400.0,405184.0
9,Downtown,2Story,8622.0,2645.0,1144.0,601.0,1937,1959,2,6,2,1,6,9,2,4.07,9.0,75.1,51.4,False,0.693,0.851,84.0,416700.0,414118.0
10,Hillcrest,1.5Story,19086.0,2654.0,792.0,353.0,1950,1990,7,4,3,1,4,6,0,0.57,7.0,31.5,22.6,False,0.741,0.066,68.0,602000.0,398472.0
11,Hillcrest,2Story,8623.0,818.0,1642.0,0.0,2010,2026,5,5,3,1,2,6,1,10.85,2.0,50.3,67.7,False,2.198,0.172,6.0,293300.0,296070.0
12,Old Town,SplitLevel,8167.0,2152.0,1797.0,138.0,1930,1960,9,10,1,0,3,3,0,17.27,1.0,16.0,51.7,False,-1.129,0.339,41.0,348600.0,353686.0
13,Suburbia,1.5Story,5178.0,1783.0,1317.0,353.0,1963,1965,4,3,1,0,4,4,2,12.09,10.0,28.9,55.3,False,0.235,0.65,13.0,238900.0,321075.0
