feature,VIF
year_built,inf
age_of_house,inf
total_sf,18.026484728157275
gr_liv_area,12.192273558200828
year_remod,10.549232415561255
qual_x_cond,8.602065965307316
total_bsmt_sf,6.967227859153653
overall_qual,4.969236497160397
overall_cond,4.637037306370376
totrms_abvgrd,3.1062329151309496
bedroom_abvgr,2.62269725078326
house_style_1Story,2.2133374115132733
house_style_2Story,2.1551295959573245
neighborhood_Suburbia,1.9706833955939838
house_style_SplitLevel,1.8563527635650863
neighborhood_Hillcrest,1.743395215319219
neighborhood_Riverside,1.6149230285693728
neighborhood_Lakeside,1.5638141864319448
neighborhood_Old Town,1.5612305792324799
full_bath,1.5513424873529018
noise_3,1.0150533612107733
distance_to_downtown_km,1.014037769340571
noise_1,1.01364765215616
crime_index,1.0133999043180535
garage_area,1.0132697829174384
half_bath,1.0122048038102351
lot_area,1.0111988737715527
fireplaces,1.0102689840796726
noise_2,1.0097741244175065
median_income_area,1.0078188777926984
school_rating,1.0069515058927978
